ticker,fy,fye_month,mktcap_b,net_cash_b,revenue_b,gross_margin,op_margin,fcf_margin,rev_growth,price_fye
SNAP,2025,Dec,,-0.5963,5.9314,0.5499,-0.0897,0.0737,0.1063,
SNOW,2019,Jan,,0.1165,0.0967,0.4646,-1.9186,-1.5108,,
SNOW,2020,Jan,,0.1272,0.2647,0.5597,-1.3526,-0.7371,1.7388,
SNOW,2021,Jan,,0.8202,0.5920,0.5903,-0.9187,-0.1359,1.2363,
SNOW,2022,Jan,,1.0857,1.2193,0.6240,-0.5864,0.0771,1.0595,
SNOW,2023,Jan,,0.9399,2.0657,0.6526,-0.4077,0.2520,0.6941,
SNOW,2024,Jan,,1.7627,2.8065,0.6798,-0.3901,0.2897,0.3586,
SNOW,2025,Jan,,0.3573,3.6264,0.6650,-0.4015,0.2519,0.2921,
SNOW,2026,Jan,,0.5483,4.6839,0.6717,-0.3064,0.2392,0.2916,
TSLA,2009,Dec,,0.0696,0.1119,0.0852,-0.4636,-0.8282,,
TSLA,2010,Dec,,0.0277,0.1167,0.2632,-1.2578,-1.4392,0.0429,
TSLA,2011,Dec,,0.0041,0.2042,0.3016,-1.2313,-1.5289,0.7495,
TSLA,2012,Dec,,-0.2504,0.4133,0.0728,-0.9541,-1.2228,1.0234,
TSLA,2013,Dec,,0.8457,2.0135,0.2266,-0.0304,-0.0031,3.8723,
TSLA,2014,Dec,,-1.0541,3.1984,0.2757,-0.0584,-0.3212,0.5885,
TSLA,2015,Dec,,-1.4599,4.0460,0.2282,-0.1771,-0.5337,0.2650,
TSLA,2016,Dec,,-2.4679,7.0001,0.2285,-0.0953,-0.2007,0.7301,
TSLA,2017,Dec,,-6.8476,11.7588,0.1890,-0.1388,-0.2956,0.6798,
TSLA,2018,Dec,,-7.9400,21.4613,0.1883,-0.0181,-0.0001,0.8251,
TSLA,2019,Dec,,-4.1340,24.5780,0.1656,-0.0028,0.0439,0.1452,
TSLA,2020,Dec,,10.9220,31.5360,0.2102,0.0632,0.0883,0.2831,
TSLA,2021,Dec,,13.4530,53.8230,0.2528,0.1212,0.0932,0.7067,
TSLA,2022,Dec,,21.1560,81.4620,0.2560,0.1676,0.0929,0.5135,
TSLA,2023,Dec,,26.4120,96.7730,0.1825,0.0919,0.0450,0.1880,
