ticker,fy,fye_month,mktcap_b,net_cash_b,revenue_b,gross_margin,op_margin,fcf_margin,rev_growth,price_fye
NOW,2015,Dec,13.9708,0.3267,1.0055,0.6724,-0.1655,0.2264,0.4731,17.3120
NOW,2016,Dec,12.4891,0.3916,1.3910,0.7130,-0.3040,0.0391,0.3834,14.8680
NOW,2017,Dec,22.7791,0.6059,1.9185,0.7471,-0.0529,0.2566,0.3792,26.0780
NOW,2018,Dec,32.1380,-0.0955,2.6088,0.7613,-0.0163,0.2249,0.3598,35.6100
NOW,2019,Dec,53.5843,0.0281,3.4604,0.7698,0.0122,0.2806,0.3264,56.4640
NOW,2020,Dec,107.9393,0.0366,4.5195,0.7816,0.0440,0.3025,0.3060,110.0860
NOW,2021,Dec,129.8220,0.1520,5.8960,0.7705,0.0436,0.3051,0.3046,129.8220
NOW,2022,Dec,78.8188,-0.0160,7.2450,0.7829,0.0490,0.2999,0.2288,77.6540
NOW,2023,Dec,144.8305,0.4090,8.9710,0.7859,0.0849,0.3014,0.2382,141.2980
NOW,2024,Dec,218.3847,0.8150,10.9840,0.7918,0.1242,0.3109,0.2244,212.0240
NOW,2025,Dec,160.2367,2.2350,13.2780,0.7753,0.1374,0.3446,0.2088,153.1900
NVDA,2008,Jan,0.0137,0.7270,4.0979,0.4562,0.2041,,,0.5718
NVDA,2009,Jan,0.0042,1.2554,3.4249,0.3429,-0.0206,,-0.1642,0.1767
NVDA,2010,Jan,8.7184,1.7282,3.3264,0.3538,-0.0297,0.1233,-0.0287,0.3527
NVDA,2011,Jan,14.0517,2.4906,3.5433,0.3977,0.0722,0.1631,0.0652,0.5446
NVDA,2012,Jan,9.1850,3.1296,3.9979,0.5144,0.1622,0.1927,0.1283,0.3417
NVDA,2013,Jan,7.6443,3.7279,4.2802,0.5202,0.1515,,0.0706,0.2863
NVDA,2014,Jan,8.6240,3.3154,4.1302,0.5491,0.1201,,-0.0350,0.3668
NVDA,2015,Jan,11.3872,3.2390,4.6815,0.5553,0.1621,,0.1335,0.4969
NVDA,2016,Jan,15.8647,3.6240,5.0100,0.5611,0.1491,,0.0702,0.7144
NVDA,2017,Jan,65.7914,4.8150,6.9100,0.5880,0.2799,,0.3792,2.7524
NVDA,2018,Jan,147.1261,5.1230,9.7140,0.5993,0.3305,,0.4058,6.0155
NVDA,2019,Jan,97.0509,5.4340,11.7160,0.6121,0.3247,,0.2061,3.9702
NVDA,2020,Jan,153.2938,8.9060,10.9180,0.6199,0.2607,,-0.0681,6.2338
